"","bear","bear-grhn","bear-sth2","bear-stha","bear-sthc","deer-clec","eel","fea-beanck","fea-spanish-bgulch","fea-spanish-silverck","fea-spanishck","mad-mapleck","mad-redwoodck","mad-redwoodck2","mat-bearriver","mat-lowermattole","mfa-amec","mfa-gasc","mfa-todc","mfy-oregck","mfy-us-oh","nfa","nfa-bunc","nfa-euchds","nfa-euchus","nfa-indc","nfa-pond","nfa-robr","nfa-saic","nfa-shic","nfa-slar","nff-poe","nfmfa-sc","nfy","nfy-slate-cgrav","paj-clearck","paj-sanbenito","put-cold","put-wildhorseck","rub-lc-us","rub-usph","russ-mwsprngck","salin-losburros","sancarp-dutrack","sfa-cami","sfeel-cedar","sfy-fallck","sfy-loga","sfy-misc","sfy-rockck","sfy-shadyck","sfy-springck","smith-hurdygurdyck","soquel-ebsc","ssantiam","trin-sftrinity","trin-sftrinity-sandybar","trin-tishtang","tuo-clavey","vandz-dinsmore","vandz-rootcreek","vandz-shanty"
"sfy-fallck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06531,0.063415,0.073938,0.121244,0.085437,0.265972,0.33826,0.276889,0.207916,0.235048,0.240317,0.306975,0.228054,0.222634,0.252899
"sfy-loga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.020798,0.072849,0.10575,0.070245,0.257319,0.329351,0.27196,0.207039,0.22952,0.232884,0.298597,0.222885,0.215527,0.24799
"sfy-misc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.070499,0.102915,0.079943,0.259275,0.328392,0.277832,0.200292,0.225317,0.229687,0.290816,0.218706,0.213464,0.245434
"sfy-rockck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.105097,0.034649,0.265765,0.337097,0.285723,0.224431,0.235708,0.241487,0.318441,0.238949,0.238509,0.254731
"sfy-shadyck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116271,0.270207,0.342552,0.295459,0.215721,0.235176,0.240226,0.316506,0.233799,0.229149,0.251746
"sfy-springck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27128,0.345498,0.287031,0.226917,0.246672,0.247582,0.319417,0.241899,0.240999,0.261821
"smith-hurdygurdyck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.302816,0.231602,0.122438,0.145087,0.145792,0.308514,0.134039,0.133303,0.154913
"soquel-ebsc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.299703,0.261986,0.291931,0.298564,0.350035,0.285999,0.275884,0.30123
"ssantiam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.213956,0.24436,0.244995,0.297193,0.229759,0.217724,0.241685
"trin-sftrinity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.038096,0.035762,0.26333,0.049537,0.049915,0.079073
"trin-sftrinity-sandybar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018296,0.295035,0.064038,0.070051,0.096378
"trin-tishtang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301481,0.0642,0.068001,0.093823
"tuo-clavey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28729,0.276665,0.313284
"vandz-dinsmore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.029636,0.060419
"vandz-rootcreek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.080371
