PlateID,well,LabID,SampleType,Collector,YYYY,easting,northing,zone,Priority,Project,Elevation_m,conc_ng_ul
WSU-3,E3,Bean45,Tail-Clip,WSU,2016,662022.8677,4428056.133,10N,1,geneflow,1528.171021,6.605
WSU-3,F3,GC2,Toe-Clip,Greta,,659251,4422939,10N,1,geneflow,1816.429199,5.316
WSU-3,G3,GC3,Toe-Clip,Greta,,659251,4422939,10N,1,geneflow,1816.429199,8
WSU-3,H3,GC4,Toe-Clip,Greta,,659251,4422939,10N,1,geneflow,1816.429199,8
WSU-3,A4,GC5,Toe-Clip,Greta,,659251,4422939,10N,1,geneflow,1816.429199,5
WSU-3,B4,GC6,Toe-Clip,Greta,,663842,4424844,10N,1,hybrid/geneflow,1193.254028,8
WSU-3,C4,GC7,Toe-Clip,Greta,,663850,4424912,10N,1,hybrid/geneflow,1194.612183,8
WSU-3,D4,GC8,Toe-Clip,Greta,,663829,4424961,10N,1,hybrid/geneflow,1195.154663,8
WSU-3,E4,GC9,Toe-Clip,Greta,,663814,4425059,10N,1,hybrid/geneflow,1196.383911,3.572
WSU-3,F4,GD10,Toe-Clip,Greta,,,,,1,hybrid/geneflow,,3.516
WSU-3,G4,GD2,Toe-Clip,Greta,,662024,4428016,10N,1,hybrid/geneflow,1526.701904,5
WSU-3,H4,GD3,Toe-Clip,Greta,,662006,4428034,10N,1,hybrid/geneflow,1529.480713,3.268
WSU-3,A5,GD4,Toe-Clip,Greta,,662017,4428058,10N,1,hybrid/geneflow,1528.814209,3.46
WSU-3,B5,GD7,Toe-Clip,Greta,,662866,4427401,10N,1,hybrid/geneflow,1434.703247,5
WSU-3,C5,GD8,Toe-Clip,Greta,,662861,4427379,10N,1,hybrid/geneflow,1434.841797,2.78
WSU-3,D5,GD9,Toe-Clip,Greta,,663181,4426916,10N,1,hybrid/geneflow,1380.433472,5
WSU-3,E5,GE1,Toe-Clip,Greta,,662866,4427401,10N,1,hybrid/geneflow,1434.703247,6.672
WSU-3,F5,GE10,Toe-Clip,Greta,,662857,4427383,10N,1,hybrid/geneflow,1431.558594,5
WSU-3,G5,GE12,Toe-Clip,Greta,,663474,4426436,10N,1,hybrid/geneflow,1337.182739,2.376
WSU-3,H5,Bean45,Tail-Clip,WSU,2016,662022.8677,4428056.133,10N,1,geneflow,1528.171021,6.605
WSU-3,A6,GE5,Toe-Clip,Greta,,663477,4425831,10N,1,hybrid/geneflow,1243.355713,6.54
WSU-3,B6,GE7,Toe-Clip,Greta,,663520,4425852,10N,1,hybrid/geneflow,1262.684448,8
WSU-3,C6,GE9,Toe-Clip,Greta,,663595,4425983,10N,1,hybrid/geneflow,1283.363403,8
WSU-3,D6,GF10,Toe-Clip,Greta,,,,,1,hybrid/geneflow,,8
WSU-3,E6,GF11,Toe-Clip,Greta,,,,,1,hybrid/geneflow,,8
WSU-3,F6,GF12,Toe-Clip,Greta,,,,,1,hybrid/geneflow,,8
WSU-3,G6,GF4,Toe-Clip,Greta,,,,,1,hybrid/geneflow,,8
WSU-3,H6,GF5,Toe-Clip,Greta,,,,,1,hybrid/geneflow,,5
WSU-3,A7,GF6,Toe-Clip,Greta,,,,,1,hybrid/geneflow,,3.74
WSU-3,B7,Bean45,Tail-Clip,WSU,2016,662022.8677,4428056.133,10N,1,geneflow,1528.171021,6.605
WSU-3,C7,GF7,Toe-Clip,Greta,,,,,1,hybrid/geneflow,,8
WSU-3,D7,GF8,Toe-Clip,Greta,,,,,1,hybrid/geneflow,,6.67
WSU-3,E7,GF9,Toe-Clip,Greta,,,,,1,hybrid/geneflow,,8
WSU-3,F7,GG1,Toe-Clip,Greta,,,,,1,hybrid/geneflow,,8
WSU-3,G7,GG3,Toe-Clip,Greta,,663801,4425057,10N,1,hybrid/geneflow,1194.414917,2.544
